question,answer,type,difficulty,link
À quel club appartient ce logo ?,Manchester City,recognize-logo,easy,/src/src/image/logo/manchestercity.png
À quel club appartient ce logo ?,Bayern Munich,recognize-logo,easy,/src/src/image/logo/bayernmunich.png
À quel club appartient ce logo ?,Real Madrid,recognize-logo,easy,/src/src/image/logo/realmadrid.png
À quel club appartient ce logo ?,Paris Saint Germain,recognize-logo,easy,/src/src/image/logo/psg.png
À quel club appartient ce logo ?,Inter Milan,recognize-logo,easy,/src/src/image/logo/intermilan.png
À quel club appartient ce logo ?,Liverpool,recognize-logo,easy,/src/src/image/logo/liverpool.png
À quel club appartient ce logo ?,Chelsea,recognize-logo,easy,/src/src/image/logo/chelsea.png
À quel club appartient ce logo ?,Juventus,recognize-logo,easy,/src/src/image/logo/juventus.png
À quel club appartient ce logo ?,Manchester United,recognize-logo,easy,/src/src/image/logo/manchesterunited.png
À quel club appartient ce logo ?,Arsenal,recognize-logo,easy,/src/src/image/logo/arsenal.png
À quel club appartient ce logo ?,Borussia Dortmund,recognize-logo,easy,/src/src/image/logo/borussiadortmund.png
À quel club appartient ce logo ?,FC Barcelone,recognize-logo,easy,/src/src/image/logo/fcbarcelone.png
À quel club appartient ce logo ?,Seville,recognize-logo,easy,/src/src/image/logo/seville.png
À quel club appartient ce logo ?,Atlético de madrird,recognize-logo,easy,/src/src/image/logo/atleticodemadrid.png
À quel club appartient ce logo ?,AS Roma,recognize-logo,medium,/src/src/image/logo/asroma.png
À quel club appartient ce logo ?,Rasen Ballsport Leipzig,recognize-logo,medium,/src/src/image/logo/rasenballsportleipzig.png
À quel club appartient ce logo ?,Villareal,recognize-logo,medium,/src/src/image/logo/villareal.png
À quel club appartient ce logo ?,FC Porto,recognize-logo,medium,/src/src/image/logo/fcporto.png
À quel club appartient ce logo ?,West Ham United,recognize-logo,medium,/src/src/image/logo/westhamunited.png
À quel club appartient ce logo ?,Atalanta,recognize-logo,medium,/src/src/image/logo/atalanta.png
À quel club appartient ce logo ?,Shakhtar Donetsk,recognize-logo,medium,/src/src/image/logo/shakhtardonetsk.png
À quel club appartient ce logo ?,Glasgow Rangers,recognize-logo,medium,/src/src/image/logo/glasgowrangers.png
À quel club appartient ce logo ?,Feyenoord Rotterdam,recognize-logo,medium,/src/src/image/logo/feyenoordrotterdam.png
À quel club appartient ce logo ?,SK Slavia Prague,recognize-logo,medium,/src/src/image/logo/skslaviaprague.png
À quel club appartient ce logo ?,Club Brugge KV,recognize-logo,medium,/src/src/image/logo/clubbruggekv.png
À quel club appartient ce logo ?,FC Bâle ,recognize-logo,medium,/src/src/image/logo/bale.png
À quel club appartient ce logo ?,La Gantoise,recognize-logo,medium,/src/src/image/logo/lagantoise.png
À quel club appartient ce logo ?,Sporting CP,recognize-logo,medium,/src/src/image/logo/sportingcp.png
À quel club appartient ce logo ?,Étoile Rouge de Belgrade,recognize-logo,medium,/src/src/image/logo/etoilerougedebelgrade.png
À quel club appartient ce logo ?,AEK Athènes,recognize-logo,hard,/src/src/image/logo/aekathenes.png
À quel club appartient ce logo ?,Besiktas JK,recognize-logo,hard,/src/src/image/logo/besiktasjk.png
À quel club appartient ce logo ?,Sparta Prague,recognize-logo,hard,/src/src/image/logo/spartaprague.png
À quel club appartient ce logo ?,OGC Nice,recognize-logo,hard,/src/src/image/logo/ogcnice.png
À quel club appartient ce logo ?,Wolverhampton Wanderers,recognize-logo,hard,/src/src/image/logo/wolverhamptonwanderers.png
À quel club appartient ce logo ?,KRC Genk,recognize-logo,hard,/src/src/image/logo/krcgenk.png
À quel club appartient ce logo ?,Lokomotiv Moscou,recognize-logo,hard,/src/src/image/logo/lokomotivmoscou.png
